# Distance (mm), OD (Y Direction)
  26.54586,   0.00781
  26.64135,   0.00593
  26.73684,   0.00781
  26.83233,   0.00593
  26.92782,   0.00781
  27.02331,   0.00593
  27.11880,   0.00593
  27.21429,   0.00781
  27.30977,   0.00781
  27.40526,   0.00593
  27.50075,   0.00407
  27.59624,   0.00781
  27.69173,   0.00593
  27.78722,   0.00593
  27.88271,   0.00221
  27.97820,   0.00593
  28.07368,   0.00407
  28.16917,   0.00593
  28.26466,   0.00969
  28.36015,   0.00969
  28.45564,   0.00781
  28.55113,   0.00593
  28.64662,   0.00781
  28.74211,   0.00781
  28.83759,   0.00969
  28.93308,   0.00593
  29.02857,   0.00781
  29.12406,   0.00969
  29.21955,   0.00781
  29.31504,   0.00593
  29.41053,   0.00593
  29.50602,   0.00593
  29.60150,   0.00407
  29.69699,   0.00407
  29.79248,   0.00593
  29.88797,   0.00221
  29.98346,   0.00593
  30.07895,   0.00969
  30.17444,   0.00969
  30.26992,   0.00593
  30.36541,   0.00593
  30.46090,   0.00407
  30.55639,   0.00781
  30.65188,   0.00969
  30.74737,   0.00781
  30.84286,   0.00969
  30.93835,   0.01540
  31.03383,   0.01349
  31.12932,   0.01924
  31.22481,   0.01924
  31.32030,   0.01924
  31.41579,   0.01924
  31.51128,   0.02117
  31.60677,   0.02312
  31.70226,   0.02900
  31.79774,   0.03098
  31.89323,   0.03296
